HD,BJD,RVel,e_RVel,r_RVel,SHK,e_SHK,EWHa,e_EWHa,Filename
HD192310,2454372.00982,-2.44,1.38,UCLES,-1.0000,-1.0000,0.6839,0.0021,ru91.979
HD192310,2454372.99747,-3.40,1.17,UCLES,-1.0000,-1.0000,0.6829,0.0019,ru91.1264
HD192310,2454373.00197,-3.75,1.31,UCLES,-1.0000,-1.0000,0.6853,0.0022,ru91.1265
HD192310,2454373.00618,-2.71,1.44,UCLES,-1.0000,-1.0000,0.6824,0.0024,ru91.1266
HD192310,2454375.01477,-0.76,1.11,UCLES,-1.0000,-1.0000,0.6852,0.0019,ru91.1882
HD192310,2454375.02015,1.75,1.16,UCLES,-1.0000,-1.0000,0.6865,0.0019,ru91.1883
HD192310,2454375.02551,2.10,1.09,UCLES,-1.0000,-1.0000,0.6829,0.0019,ru91.1884
HD192310,2454430.92007,3.97,2.03,UCLES,-1.0000,-1.0000,-1.0000,-1.0000,ru92.1048
HD192310,2454430.92660,-5.02,4.83,UCLES,-1.0000,-1.0000,-1.0000,-1.0000,ru92.1049
HD192310,2454430.93370,8.39,5.89,UCLES,-1.0000,-1.0000,0.6682,0.0088,ru92.1050
HD192310,2454430.94139,-4.51,3.46,UCLES,-1.0000,-1.0000,0.6827,0.0059,ru92.1051
HD192310,2454431.93640,-5.61,1.54,UCLES,-1.0000,-1.0000,0.6832,0.0025,ru92.1286
HD192310,2454431.94003,-7.44,1.59,UCLES,-1.0000,-1.0000,0.6840,0.0025,ru92.1287
HD192310,2454431.94367,-0.33,1.58,UCLES,-1.0000,-1.0000,-1.0000,-1.0000,ru92.1288
HD192310,2454751.90513,-8.55,1.28,UCLES,-1.0000,-1.0000,0.6880,0.0019,ru94.371
HD192310,2454751.90935,-8.27,1.29,UCLES,-1.0000,-1.0000,0.6866,0.0018,ru94.372
HD192310,2454751.91359,-11.74,1.19,UCLES,-1.0000,-1.0000,0.6863,0.0018,ru94.373
HD192310,2454751.91781,-11.27,1.28,UCLES,-1.0000,-1.0000,0.6890,0.0018,ru94.374
HD192310,2454753.99403,-9.84,1.69,UCLES,-1.0000,-1.0000,0.6854,0.0029,ru94.762
HD192310,2454753.99823,-5.84,1.85,UCLES,-1.0000,-1.0000,0.6849,0.0028,ru94.763
HD192310,2454754.00254,-5.72,1.72,UCLES,-1.0000,-1.0000,-1.0000,-1.0000,ru94.764
HD192310,2455014.09085,-1.37,1.78,UCLES,-1.0000,-1.0000,0.6885,0.0023,ru98.107
HD192310,2455014.09512,-4.57,1.73,UCLES,-1.0000,-1.0000,0.6898,0.0023,ru98.108
HD192310,2455014.09938,-4.56,1.64,UCLES,-1.0000,-1.0000,0.6878,0.0023,ru98.109
HD192310,2455014.10360,-5.85,1.74,UCLES,-1.0000,-1.0000,0.6874,0.0023,ru98.110
HD192310,2455014.10779,-0.08,1.64,UCLES,-1.0000,-1.0000,0.6887,0.0022,ru98.111
HD192310,2455018.09956,-6.81,1.45,UCLES,-1.0000,-1.0000,0.6886,0.0018,ru98.671
HD192310,2455018.10510,-2.65,1.53,UCLES,-1.0000,-1.0000,0.6852,0.0019,ru98.672
HD192310,2455018.11158,-6.89,1.61,UCLES,-1.0000,-1.0000,0.6867,0.0021,ru98.673
HD192310,2455019.10569,-4.76,2.15,UCLES,-1.0000,-1.0000,0.6811,0.0039,ru98.900
HD192310,2455020.23239,-9.83,1.48,UCLES,-1.0000,-1.0000,0.6874,0.0021,ru98.1126
HD192310,2455020.23692,-5.93,1.68,UCLES,-1.0000,-1.0000,0.6847,0.0027,ru98.1127
HD192310,2455020.24512,-3.45,1.51,UCLES,-1.0000,-1.0000,0.6887,0.0021,ru98.1128
HD192310,2455021.07445,-5.74,1.73,UCLES,-1.0000,-1.0000,0.6896,0.0026,ru98.1337
HD192310,2455021.07990,-5.86,1.79,UCLES,-1.0000,-1.0000,0.6862,0.0026,ru98.1338
