 89782 95735     j    rj173.369  2456484.740308      1.45  0.942166   0.439    54349.0 
 89783 95735     j    rj173.570  2456485.736592      1.61  0.917079   0.436    53941.0 
 89784 95735     j    rj173.762  2456486.73694      -0.08  0.931608   0.437    54085.0 
 89785 95735     j    rj173.963  2456487.737138     -0.69  0.939983   0.514    53353.0 
 89786 95735     j    rj173.1161 2456488.733309     -1.41  0.95379    0.414    52979.0 
 89787 95735     j    rj173.1364 2456489.746541     -2.13  0.960357   0.428    55387.0 
 89788 95735     j    rj174.463  2456494.739992      4.21  1.421745   0.421    11851.0 
 89789 95735     j    rj176.64   2456506.724881     -1.38  1.054642   0.379    50124.0 
 89790 95735     j    rj177.67   2456512.72653       0.45  1.156753   0.367    51214.0 
 89791 95735     j    rj177.265  2456513.731761     -3.63  1.143176   0.389    56109.0 
 89792 95735     j    rj184.225  2456614.155137     -2.47  0.98248    0.439    56326.0 
 89793 95735     j    rj184.489  2456615.158096     -0.35  0.872332   0.428    54131.0 
 89794 95735     j    rj186.212  2456674.935309     -4.37  1.05955    0.4595   55879.0 
 89795 95735     j    rj186.213  2456674.936721     -2.61  1.178317   0.4577   56217.0 
 89796 95735     j    rj186.214  2456674.938156     -4.41  1.167807   0.4533   56274.0 
 89797 95735     j    rj911.264  2456676.160939      5.25  0.909207   0.4503   89349.0 
 89798 95735     j    rj911.265  2456676.162779      7.97  0.850882   0.4516   89343.0 
 89799 95735     j    rj187.145  2456708.89029      -3.04  0.984557   0.4459   57104.0 
 89800 95735     j    rj187.146  2456708.891725     -1.12  0.97828    0.446    55151.0 
 89801 95735     j    rj187.147  2456708.893241     -2.13  1.113662   0.4467   55679.0 
 89802 95735     j    rj188.67   2456826.736776     -5.83  0.928748   0.4285   55588.0 
 89803 95735     j    rj188.68   2456826.738026     -6.38  0.851376   0.4271   56548.0 
 89804 95735     j    rj188.69   2456826.739276     -4.59  0.925223   0.4277   55358.0 
 89805 95735     j    rj188.231  2456827.741963     -7.95  0.893782   0.4561   55060.0 
 89806 95735     j    rj188.232  2456827.743282     -4.46  0.913466   0.4535   55086.0 
 89807 95735     j    rj188.233  2456827.744729     -6.80  0.937949   0.4525   55487.0 
 89808 95735     j    rj188.494  2456828.738922     -5.99  1.048993   0.4197   55771.0 
 89809 95735     j    rj188.495  2456828.740299     -5.06  1.006486   0.422    56754.0 
 89810 95735     j    rj188.496  2456828.741607     -7.39  0.997818   0.4216   55677.0 
 89811 95735     j    rj189.463  2456844.735426      1.11  1.00096    0.4075   47111.0 
 89812 95735     j    rj189.464  2456844.742069     -5.14  2.270163   0.4023    3545.0 
 89813 95735     j    rj189.2460 2456855.733401      3.39  1.061666   0.4018   54666.0 
 89814 95735     j    rj189.2461 2456855.734963      1.45  0.910741   0.3967   55298.0 
 89815 95735     j    rj189.2462 2456855.736491      4.90  0.862803   0.3942   55301.0 
 89816 95735     j    rj201.774  2457201.747391     -1.02  0.879354   0.3669   56316.0 
