tel	time	mnvel	errvel
APF	2458606.79329	-2.96	1.712722
APF	2458606.79329	-2.96	1.712722
APF	2458606.796646	0.26	1.777859
APF	2458606.796646	0.26	1.777859
APF	2458607.810972	-1.21	2.02838
APF	2458607.814224	-2.84	2.086017
APF	2458607.817384	-2.79	1.971846
APF	2458617.710241	0.94	2.54897
APF	2458805.032462	-2.82	1.628854
APF	2458805.03781	-5.94	1.739189
APF	2458805.043215	-5.14	1.692901
APF	2458955.793681	-1.06	1.752731
APF	2458955.803449	-0.92	1.707029
APF	2458955.809779	0.49	1.641386
SOPHIE	2455865.677824	-84609.2	1.6
SOPHIE	2455875.66989	-84614.7	1.4
SOPHIE	2455879.706792	-84614.90000000001	1.3
SOPHIE	2455906.683957	-84615.2	1.3
SOPHIE	2455917.706581	-84613.20000000001	1.9
SOPHIE	2455929.621078	-84611.8	1.7
SOPHIE	2455934.685521	-84613.20000000001	1.7
SOPHIE	2455963.647961	-84614.2	1.7
SOPHIE	2455968.529464	-84612.79999999999	1.9
SOPHIE	2455979.560314	-84612.5	1.3
SOPHIE	2455990.410144	-84615.5	1.6
SOPHIE	2456016.456522	-84606.5	1.2
SOPHIE	2456026.404647	-84606.7	1.7
SOPHIE	2456029.456427	-84611.5	1.4
SOPHIE	2456042.430604	-84604.29999999999	1.5
SOPHIE	2456047.454084	-84611.59999999999	2.2
SOPHIE	2456058.415441	-84610.4	2.2
SOPHIE	2456072.383108	-84609.0	1.2
SOPHIE	2456081.378579	-84607.6	1.5
SOPHIE	2456251.663277	-84610.4	1.1
SOPHIE	2456298.668542	-84617.40000000001	1.2
SOPHIE	2456314.565766	-84618.9	1.4
SOPHIE	2456318.622999	-84618.79999999999	1.4
SOPHIE	2456319.634277	-84616.29999999999	1.4
SOPHIE	2456327.632269	-84615.0	1.5
SOPHIE	2456344.597952	-84619.5	1.4
SOPHIE	2456349.499418	-84617.7	1.2
SOPHIE	2456354.528357	-84615.0	1.1
SOPHIE	2456372.532715	-84618.3	1.4
SOPHIE	2456382.393454	-84613.20000000001	1.4
SOPHIE	2456405.46611	-84617.0	1.3
SOPHIE	2456416.419037	-84614.7	1.4
