 80907 75732     j    rj63.771   2454808.01412     -16.76  1.233379   0.175    49183.0 
 80908 75732     j    rj63.772   2454808.014803    -15.44  1.185942   0.176    50271.0 
 80909 75732     j    rj63.1100  2454809.090706    -25.91  1.192293   0.174    48849.0 
 80910 75732     j    rj63.1101  2454809.0914      -26.83  1.215979   0.174    48994.0 
 80911 75732     j    rj63.1102  2454809.092199    -30.51  1.219954   0.173    48084.0 
 80912 75732     j    rj63.1344  2454809.972998    -33.99  1.035583   0.176    51329.0 
 80913 75732     j    rj63.1345  2454809.973727    -36.28  1.138155   0.175    49238.0 
 80914 75732     j    rj63.1346  2454809.974479    -33.47  1.24219    0.175    48275.0 
 80915 75732     j    rj63.1653  2454810.979062    -43.27  1.109683   0.175    51206.0 
 80916 75732     j    rj63.1654  2454810.979769    -44.58  1.190298   0.175    48984.0 
 80917 75732     j    rj63.1655  2454810.980486    -47.40  1.184543   0.175    50066.0 
 80918 75732     j    rj807.190  2454818.949915     93.39  1.384854   0.1729   75147.0 
 80919 75732     j    rj808.187  2454819.959841     69.52  1.250846   0.1712   76256.0 
 80920 75732     j    rj810.178  2454821.983902     10.69  1.227018   0.1685   76211.0 
 80921 75732     j    rj64.186   2454839.046552    -60.37  1.226616   0.194    49942.0 
 80922 75732     j    rj64.187   2454839.047281    -57.98  1.196774   0.193    48781.0 
 80923 75732     j    rj64.188   2454839.048011    -60.22  1.274903   0.194    50089.0 
 80924 75732     j    rj65.193   2454847.093226     80.37  1.437294   0.17     48288.0 
 80925 75732     j    rj65.194   2454847.094059     78.89  1.409185   0.171    47213.0 
 80926 75732     j    rj65.195   2454847.094823     80.95  1.436445   0.17     47935.0 
 80927 75732     j    rj66.148   2454864.991483     48.42  1.326358   0.17     44412.0 
 80928 75732     j    rj66.149   2454864.992317     46.47  1.062944   0.171    50264.0 
 80929 75732     j    rj66.150   2454864.993        44.72  1.208485   0.172    50870.0 
 80930 75732     j    rj67.268   2454927.828168    -56.89  1.365124   0.168    40761.0 
 80931 75732     j    rj67.705   2454929.858273    -31.94  1.205348   0.175    46208.0 
