HD,BJD,RVel,e_RVel,r_RVel,SHK,e_SHK,EWHa,e_EWHa,Filename
HD39091,2458476.77388,5.11,1.00,PFS-Post,0.1623,0.0006,-1.0000,-1.0000,rn48.2620
HD39091,2458476.77551,5.28,0.95,PFS-Post,0.1542,0.00054,-1.0000,-1.0000,rn48.2621
HD39091,2458476.85195,2.39,1.06,PFS-Post,0.1637,0.00067,-1.0000,-1.0000,rn48.2633
HD39091,2458476.85361,6.63,1.07,PFS-Post,0.1663,0.00077,-1.0000,-1.0000,rn48.2634
HD39091,2458476.85528,1.67,1.02,PFS-Post,0.1723,0.00087,-1.0000,-1.0000,rn48.2635
HD39091,2458476.85690,4.58,1.04,PFS-Post,0.1739,0.00086,-1.0000,-1.0000,rn48.2636
HD39091,2458476.85856,4.88,1.00,PFS-Post,0.1796,0.00098,-1.0000,-1.0000,rn48.2637
HD39091,2458479.70656,1.59,1.02,PFS-Post,0.1649,0.00045,-1.0000,-1.0000,rn48.2898
HD39091,2458479.70819,0.73,0.98,PFS-Post,0.1649,0.00042,-1.0000,-1.0000,rn48.2899
HD39091,2458479.70984,5.03,1.04,PFS-Post,0.1655,0.00046,-1.0000,-1.0000,rn48.2900
HD39091,2458479.71151,-1.52,1.06,PFS-Post,0.1677,0.00053,-1.0000,-1.0000,rn48.2901
HD39091,2458479.71316,5.55,1.04,PFS-Post,0.1685,0.00054,-1.0000,-1.0000,rn48.2902
HD39091,2458480.65516,-2.52,1.08,PFS-Post,0.1681,0.00057,-1.0000,-1.0000,rn48.3178
HD39091,2458480.65768,-0.19,1.09,PFS-Post,0.1648,0.00047,-1.0000,-1.0000,rn48.3179
HD39091,2458480.66032,0.78,1.05,PFS-Post,0.1644,0.00048,-1.0000,-1.0000,rn48.3180
HD39091,2458480.78386,0.49,1.03,PFS-Post,0.1657,0.00052,-1.0000,-1.0000,rn48.3191
HD39091,2458480.78551,-1.34,0.98,PFS-Post,0.1669,0.00057,-1.0000,-1.0000,rn48.3192
HD39091,2458480.78714,-1.04,1.08,PFS-Post,0.1722,0.00067,-1.0000,-1.0000,rn48.3193
HD39091,2458480.78883,-3.26,0.99,PFS-Post,0.1698,0.00059,-1.0000,-1.0000,rn48.3194
HD39091,2458480.79046,0.15,1.02,PFS-Post,0.1730,0.0007,-1.0000,-1.0000,rn48.3195
HD39091,2458501.63967,-26.08,1.03,PFS-Post,0.1624,0.00055,-1.0000,-1.0000,rn49.136
HD39091,2458501.64135,-32.69,0.98,PFS-Post,0.1623,0.00053,-1.0000,-1.0000,rn49.137
HD39091,2458501.64299,-29.27,1.06,PFS-Post,0.1609,0.00049,-1.0000,-1.0000,rn49.138
HD39091,2458501.64463,-27.27,1.02,PFS-Post,0.1584,0.00044,-1.0000,-1.0000,rn49.139
HD39091,2458501.64630,-29.05,0.95,PFS-Post,0.1610,0.00048,-1.0000,-1.0000,rn49.140
HD39091,2458502.55138,-32.88,0.92,PFS-Post,0.1603,0.00045,-1.0000,-1.0000,rn49.425
HD39091,2458502.55303,-34.01,0.96,PFS-Post,0.1583,0.00043,-1.0000,-1.0000,rn49.426
HD39091,2458502.55469,-31.99,0.95,PFS-Post,0.1575,0.00039,-1.0000,-1.0000,rn49.427
HD39091,2458502.55637,-32.81,0.94,PFS-Post,0.1593,0.0005,-1.0000,-1.0000,rn49.428
HD39091,2458502.55800,-32.04,0.98,PFS-Post,0.1606,0.00051,-1.0000,-1.0000,rn49.429
HD39091,2458502.65048,-32.51,1.02,PFS-Post,0.1623,0.0005,-1.0000,-1.0000,rn49.440
HD39091,2458502.65210,-33.44,0.91,PFS-Post,0.1591,0.00046,-1.0000,-1.0000,rn49.441
HD39091,2458502.65374,-32.36,0.99,PFS-Post,0.1584,0.00048,-1.0000,-1.0000,rn49.442
HD39091,2458502.65540,-33.96,0.89,PFS-Post,0.1619,0.00055,-1.0000,-1.0000,rn49.443
HD39091,2458502.65707,-34.09,0.97,PFS-Post,0.1605,0.00046,-1.0000,-1.0000,rn49.444
HD39091,2458504.65231,-32.72,1.00,PFS-Post,0.1592,0.00049,-1.0000,-1.0000,rn49.1061
HD39091,2458504.65395,-31.45,0.91,PFS-Post,0.1585,0.00043,-1.0000,-1.0000,rn49.1062
HD39091,2458504.65562,-32.71,0.98,PFS-Post,0.1601,0.00049,-1.0000,-1.0000,rn49.1063
HD39091,2458504.65728,-32.26,0.93,PFS-Post,0.1602,0.00053,-1.0000,-1.0000,rn49.1064
HD39091,2458504.65895,-32.91,0.94,PFS-Post,0.1613,0.00051,-1.0000,-1.0000,rn49.1065
HD39091,2458504.71336,-31.43,0.95,PFS-Post,0.1600,0.00057,-1.0000,-1.0000,rn49.1072
HD39091,2458504.71500,-31.91,0.95,PFS-Post,0.1593,0.00059,-1.0000,-1.0000,rn49.1073
HD39091,2458504.71667,-32.26,1.00,PFS-Post,0.1630,0.00068,-1.0000,-1.0000,rn49.1074
HD39091,2458504.71835,-29.98,0.98,PFS-Post,0.1566,0.00053,-1.0000,-1.0000,rn49.1075
HD39091,2458504.72000,-31.13,0.99,PFS-Post,0.1595,0.00062,-1.0000,-1.0000,rn49.1076
HD39091,2458505.59337,-33.27,1.03,PFS-Post,0.1671,0.00065,-1.0000,-1.0000,rn49.1367
HD39091,2458505.59499,-34.44,1.01,PFS-Post,0.1704,0.00082,-1.0000,-1.0000,rn49.1368
HD39091,2458505.59662,-30.35,1.03,PFS-Post,0.1710,0.00074,-1.0000,-1.0000,rn49.1369
