_tab5_1,RV,e_RV,FWHM,Contrast,Bisector,logR_HK,Texp
6866.732200,-18.42180,0.00045,6.05709,49.873,0.01094,-5.0216,900
6866.734145,-18.42235,0.00046,6.05701,49.883,0.01118,-5.0253,900
6866.736066,-18.42226,0.00047,6.05626,49.888,0.01191,-5.0196,900
6866.738254,-18.42099,0.00049,6.05553,49.897,0.01084,-5.0222,900
6883.711254,-18.42096,0.00053,6.06045,49.877,0.01134,-5.0091,900
6883.713198,-18.42057,0.00054,6.05956,49.887,0.01232,-5.0087,900
6883.715351,-18.42168,0.00056,6.06072,49.873,0.01032,-5.0061,900
6883.717191,-18.42108,0.00057,6.05994,49.889,0.01290,-5.0089,900
6883.719390,-18.42083,0.00060,6.06182,49.879,0.01010,-5.0039,900
6883.721335,-18.42145,0.00059,6.05950,49.890,0.01066,-5.0138,900
6883.739727,-18.42153,0.00054,6.05876,49.878,0.01233,-5.0029,900
6883.741741,-18.42133,0.00055,6.05889,49.873,0.01420,-5.0078,900
6883.743767,-18.42158,0.00057,6.06127,49.870,0.01167,-5.0066,900
6883.745839,-18.42077,0.00056,6.05899,49.874,0.01087,-5.0088,900
6883.747853,-18.42117,0.00053,6.05985,49.869,0.01281,-5.0085,900
6883.749878,-18.42060,0.00052,6.05928,49.865,0.01185,-5.0085,900
6884.718086,-18.41922,0.00046,6.05902,49.862,0.01271,-5.0078,900
6884.720066,-18.41899,0.00047,6.06164,49.856,0.01178,-5.0090,900
6884.722091,-18.41924,0.00047,6.06169,49.854,0.01362,-5.0063,900
6884.724128,-18.41932,0.00045,6.06020,49.856,0.01119,-5.0093,900
6884.726154,-18.41951,0.00045,6.06090,49.852,0.01158,-5.0087,900
6884.728156,-18.41948,0.00045,6.06165,49.852,0.01221,-5.0103,900
6884.746375,-18.41885,0.00046,6.05880,49.867,0.01233,-5.0073,900
6884.748366,-18.41971,0.00046,6.06137,49.853,0.01205,-5.0071,900
6884.750426,-18.41927,0.00046,6.06099,49.845,0.01152,-5.0072,900
6884.752394,-18.41911,0.00046,6.06280,49.841,0.01151,-5.0117,900
6884.754465,-18.41916,0.00046,6.06220,49.826,0.01170,-5.0087,900
6884.756479,-18.41832,0.00046,6.06089,49.818,0.01335,-5.0072,900
6885.713992,-18.42497,0.00047,6.06010,49.865,0.01165,-5.0084,900
6885.716029,-18.42442,0.00048,6.05914,49.864,0.01199,-5.0070,900
6885.718055,-18.42469,0.00048,6.06045,49.869,0.01198,-5.0078,900
6885.720046,-18.42419,0.00047,6.05809,49.868,0.01144,-5.0057,900
6885.724120,-18.42485,0.00049,6.06000,49.863,0.01236,-5.0049,900
6885.742581,-18.42383,0.00046,6.06021,49.856,0.01234,-5.0087,900
6885.744572,-18.42419,0.00045,6.05966,49.863,0.01195,-5.0061,900
6885.746609,-18.42440,0.00046,6.06011,49.856,0.01217,-5.0076,900
6885.748612,-18.42461,0.00046,6.06000,49.849,0.01139,-5.0080,900
6885.750626,-18.42441,0.00046,6.06036,49.847,0.01177,-5.0056,900
6885.752675,-18.42439,0.00046,6.06100,49.842,0.01151,-5.0072,900
6886.699075,-18.42573,0.00051,6.05830,49.883,0.01033,-5.0201,900
6886.701135,-18.42530,0.00048,6.05858,49.874,0.01177,-5.0128,900
6886.702849,-18.42617,0.00065,6.05986,49.890,0.01183,-5.0050,900
6886.705383,-18.42618,0.00053,6.06051,49.878,0.01142,-5.0156,900
6886.707293,-18.42619,0.00047,6.05945,49.868,0.01112,-5.0141,900
6886.709261,-18.42518,0.00047,6.05920,49.867,0.01209,-5.0189,900
6886.753499,-18.42557,0.00085,6.05912,49.852,0.01000,-5.0185,900
6886.755490,-18.42653,0.00083,6.06134,49.773,0.01397,-5.0231,900
6886.757585,-18.42594,0.00102,6.06123,49.533,0.01146,-5.0006,900
6886.759518,-18.42717,0.00092,6.06103,49.357,0.00905,-4.9932,900
