CCD,Seq,BJD,dRV,e_dRV,SHK,e_SHK
New,349,2455935.70971,5.0,3.9,0.166,0.005
New,350,2455935.71043,10.2,3.9,0.166,0.005
New,351,2455936.69569,6.8,3.7,0.141,0.004
New,352,2455936.69646,11.7,3.7,0.151,0.004
New,353,2455936.69723,7.0,3.6,0.152,0.004
New,354,2455936.69799,8.9,4.1,0.140,0.004
New,355,2455936.69877,5.0,3.7,0.146,0.004
New,356,2455937.69808,9.3,3.6,0.155,0.004
New,357,2455937.69883,16.2,3.6,0.156,0.004
New,358,2455937.69958,12.6,3.5,0.154,0.004
New,359,2455937.70033,13.7,3.7,0.154,0.004
New,360,2455937.70107,14.3,3.7,0.155,0.004
